descriptor,importance_share
BCUT2D_LOGPLOW,0.0041918876
SPS,0.0041863965
BCUT2D_MWLOW,0.00417724
SMR_VSA5,0.0041279295
SMR_VSA2,0.004115546
fr_methoxy,0.004092351
EState_VSA9,0.004091481
EState_VSA1,0.004089268
SlogP_VSA4,0.00407663
NumAmideBonds,0.004045639
VSA_EState3,0.0040385746
PEOE_VSA1,0.0040171365
Chi3v,0.0039858203
TPSA,0.0039079124
fr_nitro_arom,0.0038923703
fr_Imine,0.0038895675
Chi4n,0.0038751091
EState_VSA6,0.00386346
VSA_EState7,0.0038225811
fr_Ar_NH,0.0037510288
PEOE_VSA7,0.003748937
Kappa3,0.0037221846
PEOE_VSA2,0.0037088986
Chi1n,0.003705868
PEOE_VSA11,0.0036998293
FpDensityMorgan2,0.0036764094
fr_bicyclic,0.0036706782
PEOE_VSA5,0.0036397544
qed,0.0036364584
SlogP_VSA3,0.003624353
MinEStateIndex,0.0036189384
fr_Ar_COO,0.0036165365
PEOE_VSA8,0.003602889
Kappa2,0.0035986311
SMR_VSA1,0.0035921563
VSA_EState8,0.0035919514
PEOE_VSA9,0.0035830117
NumHAcceptors,0.0035729283
VSA_EState5,0.0035646271
SlogP_VSA5,0.0035644814
fr_thiophene,0.0035480983
fr_unbrch_alkane,0.0035341918
PEOE_VSA10,0.003533934
EState_VSA4,0.0035192228
fr_aryl_methyl,0.003476881
MinAbsEStateIndex,0.0034623523
NumValenceElectrons,0.0034326601
VSA_EState2,0.0033993893
VSA_EState1,0.0033740816
EState_VSA2,0.003355308
EState_VSA5,0.0033481251
EState_VSA7,0.0033386976
VSA_EState4,0.0032481134
Chi2n,0.0032417395
VSA_EState6,0.0032107104
Kappa1,0.003205054
NOCount,0.003162061
fr_ketone_Topliss,0.0031096686
fr_para_hydroxylation,0.0030875944
RingCount,0.00306836
MolWt,0.003053138
fr_nitro,0.00301197
fr_halogen,0.0028707415
NumSaturatedHeterocycles,0.002670977
fr_C_O,0.0025377786
fr_guanido,0.0022681882
fr_NH1,0.0022582156
NumHeterocycles,0.002215991
SlogP_VSA7,0.0018817851
fr_lactone,0.0018685147
fr_oxime,0.0017019281
fr_ketone,0.0016930422
NumAliphaticHeterocycles,0.0016248
fr_thiazole,0.0015853003
fr_alkyl_halide,0.0015762842
fr_sulfide,0.0014399044
fr_tetrazole,0.0013706181
fr_hdrzine,0.0013088508
fr_quatN,0.0012773353
fr_furan,0.001189542
fr_Ar_OH,0.0009892827
fr_Al_OH,0.0009766167
NumAliphaticRings,0.000959401
fr_phenol,0.00090995675
NumBridgeheadAtoms,0.00088788464
fr_urea,0.0008369131
fr_ArN,0.0007390694
HeavyAtomCount,0.0007072967
fr_phenol_noOrthoHbond,0.0006952811
fr_term_acetylene,0.0005978185
fr_nitro_arom_nonortho,0.0005792867
fr_NH2,0.00047208933
MaxEStateIndex,0.0
NumRadicalElectrons,0.0
EState_VSA11,0.0
Ipc,0.0
NumSpiroAtoms,0.0
fr_HOCCN,0.0
fr_N_O,0.0
fr_isothiocyan,0.0
fr_isocyan,0.0
fr_SH,0.0
fr_amidine,0.0
fr_amide,0.0
fr_aldehyde,0.0
fr_azide,0.0
fr_azo,0.0
fr_barbitur,0.0
fr_benzene,0.0
fr_benzodiazepine,0.0
fr_alkyl_carbamate,0.0
fr_Nhpyrrole,0.0
fr_hdrzone,0.0
fr_imide,0.0
fr_diazo,0.0
fr_epoxide,0.0
fr_dihydropyridine,0.0
fr_lactam,0.0
fr_phos_ester,0.0
fr_phos_acid,0.0
fr_oxazole,0.0
fr_nitroso,0.0
fr_priamide,0.0
fr_prisulfonamd,0.0
fr_sulfone,0.0
fr_thiocyan,0.0
