descriptor,importance_share
HeavyAtomMolWt,0.003952587
MaxAbsEStateIndex,0.00393532
AvgIpc,0.0038754218
FpDensityMorgan3,0.0038573332
EState_VSA3,0.0038440344
Kappa1,0.0038014175
qed,0.003720207
fr_sulfide,0.0037111756
VSA_EState2,0.0036364456
fr_amidine,0.0035957703
FpDensityMorgan2,0.0035909612
fr_Ndealkylation1,0.0035722125
PEOE_VSA1,0.0035642043
BCUT2D_MWHI,0.0035008173
PEOE_VSA8,0.0034803294
EState_VSA6,0.003424987
fr_furan,0.0034228952
Chi1n,0.0034092506
EState_VSA4,0.0033718594
MinAbsEStateIndex,0.003363328
SlogP_VSA7,0.0032411993
SlogP_VSA11,0.0032220867
PEOE_VSA9,0.0031957712
Chi3n,0.0031478647
NumHDonors,0.0031328043
Kappa2,0.0031140086
PEOE_VSA11,0.0030787191
Chi0v,0.0030417356
fr_thiophene,0.0030398313
Chi0,0.002908011
VSA_EState8,0.0028619352
fr_phenol_noOrthoHbond,0.0028178133
fr_priamide,0.0027941975
fr_sulfonamd,0.0026713524
LabuteASA,0.0025630014
fr_Ar_N,0.002559832
MolWt,0.0024353026
fr_pyridine,0.0023453988
ExactMolWt,0.0022889613
NumAliphaticRings,0.0022693628
NumAromaticHeterocycles,0.002226786
fr_urea,0.0021411057
PEOE_VSA14,0.0021381069
SMR_VSA2,0.00166773
fr_ArN,0.001661647
fr_sulfone,0.001658393
fr_N_O,0.0015670108
fr_C_O,0.0015317692
fr_aniline,0.0013692868
fr_alkyl_halide,0.0012775598
fr_Al_OH_noTert,0.001204116
fr_C_O_noCOO,0.0011815495
fr_Ar_OH,0.0009931274
fr_oxazole,0.0009616385
fr_allylic_oxid,0.00090099836
fr_thiazole,0.00086275535
NumSaturatedHeterocycles,0.0008351149
fr_Ar_NH,0.0006368242
fr_nitrile,0.0005904338
fr_prisulfonamd,0.00053850916
HeavyAtomCount,0.0004958764
NumAmideBonds,0.0004276801
EState_VSA11,0.00040162398
fr_nitro_arom_nonortho,0.00040076196
NumAliphaticCarbocycles,0.00036124568
NumSpiroAtoms,0.00032379603
fr_epoxide,0.000247836
fr_HOCCN,0.00021736439
NumUnspecifiedAtomStereoCenters,0.0001566
fr_morpholine,9.977122e-05
fr_unbrch_alkane,8.1554455e-05
fr_NH2,5.9736725e-05
MaxEStateIndex,0.0
fr_COO2,0.0
NumBridgeheadAtoms,0.0
fr_Ar_COO,0.0
NumSaturatedCarbocycles,0.0
NumSaturatedRings,0.0
fr_alkyl_carbamate,0.0
fr_SH,0.0
fr_Nhpyrrole,0.0
fr_amide,0.0
fr_benzodiazepine,0.0
fr_benzene,0.0
fr_azo,0.0
fr_dihydropyridine,0.0
fr_imide,0.0
fr_hdrzone,0.0
fr_hdrzine,0.0
fr_guanido,0.0
fr_lactone,0.0
fr_lactam,0.0
fr_nitro,0.0
fr_oxime,0.0
fr_phos_acid,0.0
fr_phenol,0.0
fr_nitro_arom,0.0
fr_piperdine,0.0
fr_quatN,0.0
fr_phos_ester,0.0
fr_tetrazole,0.0
fr_term_acetylene,0.0
