descriptor,importance_share
EState_VSA9,0.003375134
PEOE_VSA11,0.0033513815
SPS,0.0033376068
SlogP_VSA6,0.0033151929
FpDensityMorgan2,0.0032690645
FpDensityMorgan3,0.0032055401
Chi3v,0.0031948532
fr_ketone,0.0031785772
Chi1v,0.0031030052
MaxAbsPartialCharge,0.0030762225
MinAbsPartialCharge,0.0030555674
fr_Ndealkylation1,0.0030321672
BCUT2D_MWHI,0.0029976077
EState_VSA5,0.0029755407
VSA_EState4,0.0029097372
NumAtomStereoCenters,0.002828438
HeavyAtomCount,0.0028210569
fr_NH1,0.0028047315
fr_ArN,0.0027925614
EState_VSA6,0.0027619344
fr_Ar_NH,0.0027076215
SlogP_VSA5,0.0024987522
Chi0n,0.0024798617
NumAliphaticCarbocycles,0.002461085
SlogP_VSA4,0.0024555554
HeavyAtomMolWt,0.0024067338
fr_C_O_noCOO,0.0023790717
NumAromaticRings,0.002353372
SMR_VSA9,0.0023512156
fr_Al_OH,0.002326348
fr_aryl_methyl,0.002311208
NumHeteroatoms,0.002072258
NumUnspecifiedAtomStereoCenters,0.0014063288
fr_ester,0.0013832707
NumAliphaticHeterocycles,0.0013643168
fr_para_hydroxylation,0.0013585006
fr_imide,0.0013354307
fr_methoxy,0.0011722461
NumBridgeheadAtoms,0.0011400192
fr_Al_OH_noTert,0.0010838627
fr_imidazole,0.0010748385
RingCount,0.0010730985
NumHeterocycles,0.000900969
fr_NH0,0.00085266784
NumSaturatedRings,0.0008491922
SlogP_VSA12,0.000748529
fr_aniline,0.00068473344
fr_pyridine,0.00067949045
fr_ether,0.0004664291
fr_ketone_Topliss,0.00044434858
SMR_VSA2,0.00041123858
NumAmideBonds,0.00032219646
ExactMolWt,0.0
NumRadicalElectrons,0.0
MaxEStateIndex,0.0
fr_Ar_OH,0.0
fr_Ar_COO,0.0
fr_Al_COO,0.0
NumSpiroAtoms,0.0
SlogP_VSA7,0.0
EState_VSA11,0.0
fr_C_S,0.0
fr_COO2,0.0
fr_amidine,0.0
fr_alkyl_carbamate,0.0
fr_SH,0.0
fr_Nhpyrrole,0.0
fr_barbitur,0.0
fr_azide,0.0
fr_dihydropyridine,0.0
fr_amide,0.0
fr_aldehyde,0.0
fr_N_O,0.0
fr_Ndealkylation2,0.0
fr_NH2,0.0
fr_HOCCN,0.0
fr_Imine,0.0
fr_hdrzone,0.0
fr_hdrzine,0.0
fr_guanido,0.0
fr_furan,0.0
fr_epoxide,0.0
fr_benzene,0.0
fr_benzodiazepine,0.0
fr_morpholine,0.0
fr_nitrile,0.0
fr_nitro,0.0
fr_nitro_arom_nonortho,0.0
fr_nitro_arom,0.0
fr_oxazole,0.0
fr_oxime,0.0
fr_phenol,0.0
fr_lactone,0.0
fr_phenol_noOrthoHbond,0.0
fr_phos_acid,0.0
fr_piperzine,0.0
fr_piperdine,0.0
fr_priamide,0.0
fr_prisulfonamd,0.0
fr_quatN,0.0
fr_sulfide,0.0
fr_sulfonamd,0.0
fr_sulfone,0.0
fr_term_acetylene,0.0
fr_tetrazole,0.0
fr_thiazole,0.0
fr_thiophene,0.0
fr_unbrch_alkane,0.0
fr_urea,0.0
