descriptor,importance_share
fr_aryl_methyl,0.0018034376
SlogP_VSA11,0.0015566302
fr_piperdine,0.0015396111
fr_ketone_Topliss,0.0015171479
fr_unbrch_alkane,0.0014415109
SlogP_VSA7,0.0014380764
fr_priamide,0.0013800047
NumSaturatedRings,0.0012561815
NumSpiroAtoms,0.00095744245
fr_Imine,0.0008900973
NumAliphaticCarbocycles,0.0008409694
NumAromaticRings,0.00083186134
fr_piperzine,0.0007442725
fr_ester,0.00074124045
fr_epoxide,0.00069827924
fr_Ar_OH,0.0006706178
NumAromaticCarbocycles,0.00057103916
fr_phenol,0.0004010757
fr_methoxy,0.00032238965
fr_thiazole,0.00030566
HeavyAtomCount,0.00016873659
NumAliphaticRings,0.00010460485
Ipc,0.0
MaxEStateIndex,0.0
NumRadicalElectrons,0.0
SMR_VSA2,0.0
EState_VSA11,0.0
NumBridgeheadAtoms,0.0
fr_Ar_COO,0.0
fr_HOCCN,0.0
fr_C_S,0.0
fr_COO2,0.0
fr_amidine,0.0
fr_azo,0.0
fr_azide,0.0
fr_amide,0.0
fr_N_O,0.0
fr_hdrzone,0.0
fr_furan,0.0
fr_guanido,0.0
fr_hdrzine,0.0
fr_benzodiazepine,0.0
fr_benzene,0.0
fr_barbitur,0.0
fr_dihydropyridine,0.0
fr_alkyl_carbamate,0.0
fr_aldehyde,0.0
fr_SH,0.0
fr_Nhpyrrole,0.0
fr_morpholine,0.0
fr_nitrile,0.0
fr_lactam,0.0
fr_lactone,0.0
fr_phos_acid,0.0
fr_phenol_noOrthoHbond,0.0
fr_oxazole,0.0
fr_oxime,0.0
fr_nitroso,0.0
fr_nitro_arom_nonortho,0.0
fr_nitro,0.0
fr_nitro_arom,0.0
fr_sulfide,0.0
fr_quatN,0.0
fr_prisulfonamd,0.0
fr_phos_ester,0.0
fr_tetrazole,0.0
fr_term_acetylene,0.0
fr_sulfone,0.0
fr_sulfonamd,0.0
